This program will compare the running times of iterative and recursive functions to solve a Fibonacci series.
---------------------------------------------------------------------------------------------
| nth value    | Iterative Time   | Recursive Time  | Difference   |      Fibonacci Value    |
|             0|                 0|                0|             0|                        0|
|             1|                 0|                0|             0|                        1|
|             2|                 0|                0|             0|                        1|
|             3|                 0|                0|             0|                        2|
|             4|                 0|                0|             0|                        3|
|             5|                 0|                0|             0|                        5|
|             6|                 0|                0|             0|                        8|
|             7|                 0|                0|             0|                       13|
|             8|                 0|                0|             0|                       21|
|             9|                 0|                0|             0|                       34|
|            10|                 0|                0|             0|                       55|
|            11|                 0|                0|             0|                       89|
|            12|                 0|                0|             0|                      144|
|            13|                 0|                0|             0|                      233|
|            14|                 0|                0|             0|                      377|
|            15|                 0|                0|             0|                      610|
|            16|                 0|                0|             0|                      987|
|            17|                 0|                0|             0|                     1597|
|            18|                 0|            0.001|         0.001|                     2584|
|            19|                 0|            0.001|         0.001|                     4181|
|            20|                 0|            0.001|         0.001|                     6765|
|            21|                 0|            0.001|         0.001|                    10946|
|            22|                 0|            0.002|         0.002|                    17711|
|            23|                 0|            0.003|         0.003|                    28657|
|            24|                 0|            0.005|         0.005|                    46368|
|            25|                 0|            0.008|         0.008|                    75025|
|            26|                 0|            0.012|         0.012|                   121393|
|            27|                 0|             0.02|          0.02|                   196418|
|            28|                 0|            0.032|         0.032|                   317811|
|            29|                 0|            0.054|         0.054|                   514229|
|            30|                 0|            0.086|         0.086|                   832040|
|            31|                 0|            0.136|         0.136|                  1346269|
|            32|                 0|            0.219|         0.219|                  2178309|
|            33|                 0|            0.355|         0.355|                  3524578|
|            34|                 0|              0.6|           0.6|                  5702887|
|            35|                 0|            0.933|         0.933|                  9227465|
|            36|                 0|            1.508|         1.508|                 14930352|
|            37|                 0|            2.464|         2.464|                 24157817|
|            38|                 0|            3.961|         3.961|                 39088169|
|            39|                 0|            6.378|         6.378|                 63245986|
|            40|                 0|           10.373|        10.373|                102334155|
|            41|                 0|           16.896|        16.896|                165580141|
|            42|                 0|           27.066|        27.066|                267914296|
|            43|                 0|           43.838|        43.838|                433494437|
|            44|                 0|           71.489|        71.489|                701408733|
|            45|                 0|          115.459|       115.459|               1134903170|
|            46|                 0|          186.453|       186.453|               1836311903|
|            47|                 0|          300.852|       300.852|               2971215073|
|            48|                 0|          489.426|       489.426|               4807526976|
At this rate # 53 takes about an hour to calculate, and # 60 would be at least 8 hours to calculate.
